0000000001,0000000000,000036,-00048,000013,-00002,-05232,008849,-03618,012442,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000002,0000001000,000046,-00041,-00003,-00003,-07127,007957,-00829,008819,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000003,0000002000,000052,-00032,-00020,-00003,-08520,006491,002013,004555,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000004,0000003000,000052,-00018,-00033,-00003,-08986,004422,004551,-00169,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000005,0000004000,000047,-00002,-00043,-00003,-08374,001784,006588,-04880,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000006,0000005000,000038,000014,-00050,-00002,-07083,-01070,008160,-09126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000007,0000006000,000025,000027,-00053,-00001,-05229,-03739,008983,-12684,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000008,0000007000,000009,000039,-00048,-00001,-02739,-05936,008686,-14663,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000009,0000008000,-00008,000047,-00040,000000,000093,-07651,007570,-15176,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000010,0000009000,-00024,000050,-00029,000001,002847,-08771,005926,-14650,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000011,0000010000,-00037,000047,-00013,000002,005226,-08847,003624,-12440,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000012,0000011000,-00047,000041,000003,000002,007120,-07960,000841,-08835,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000013,0000012000,-00054,000030,000019,000002,008521,-06499,-02007,-04574,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000014,0000013000,-00053,000016,000032,000002,008989,-04428,-04549,000162,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000015,0000014000,-00047,000001,000043,000002,008376,-01789,-06584,004870,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000016,0000015000,-00039,-00015,000051,000001,007087,001060,-08154,009116,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000017,0000016000,-00027,-00029,000052,000000,005236,003730,-08982,012678,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000018,0000017000,-00010,-00040,000048,000000,002749,005930,-08689,014664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000019,0000018000,000006,-00048,000040,-00001,-00083,007641,-07572,015173,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000020,0000019000,000022,-00051,000029,-00002,-02845,008769,-05929,014651,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000021,0000020000,000036,-00049,000013,-00002,-05223,008849,-03630,012455,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000022,0000021000,000046,-00042,-00003,-00003,-07120,007963,-00844,008841,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
